no,judul,deskripsi,asal_daerah,link,gambar
32,Distro (pakaian),"Distro, singkatan dari distribution store atau distribution outlet, adalah jenis toko di Indonesia yang menjual pakaian dan aksesori yang dititipkan oleh pembuat pakaian, atau diproduksi sendiri. Distro umumnya merupakan industri kecil dan menengah (IKM) yang sandang dengan merk independen yang dikembangkan kalangan muda. Produk yang dihasilkan oleh distro diusahakan untuk tidak diproduksi secara massal, agar mempertahankan sifat eksklusif suatu produk dan hasil kerajinan. Konsep distro berawal pada pertengahan 1990-an di Bandung. Saat itu band-band independen (Indie) di Bandung berusaha menjual merchandise mereka seperti CD/kaset, t-shirt, dan sticker selain di tempat mereka melakukan pertunjukan. Bentuk awal distro adalah usaha rumahan dan dibuat etalase dan rak untuk menjual t-shirt. Selain komunitas musik, akhirnya banyak komunitas lain seperti komunitas punk dan skateboard yang kemudian juga membuat toko-toko kecil untuk menjual pakaian dan aksesori mereka. Kini, industri distro sudah berkembang, bahkan dianggap menghasilkan produk-produk yang memiliki kualitas ekspor. Pada tahun 2007 diperkirakan ada sekitar 700 unit usaha distro di Indonesia, dan 300 diantaranya ada di Bandung.",Aceh,https://id.wikipedia.org/wiki/Distro_(pakaian),
33,Gadod,"Gadod (bahasa Sunda: ᮌᮓᮧᮓ᮪, translit. gadod) adalah sebuah tradisi pertenunan khas Sunda yang berasal dari daerah Majalengka di Jawa Barat, Indonesia. Sejak tahun 2019, tradisi pertenunan Gadod secara resmi diakui sebagai salah satu Warisan Budaya Takbenda khas Indonesia dalam bidang Kemahiran dan Kerajinan Tradisional yang berasal dari Jawa Barat.",Jawa Barat,https://id.wikipedia.org/wiki/Gadod,
34,Galenggo,"Galenggo merupakan pakaian tradisional perempuan suku Gorontalo, Sulawesi, Indonesia. Galenggo adalah salah satu warisan pakaian adat perempuan Gorontalo yang digunakan turun temurun, dari generasi ke generasi.",Gorontalo,https://id.wikipedia.org/wiki/Galenggo,https://upload.wikimedia.org/wikipedia/commons/8/87/Galenggo_berbagai_warna.png
35,Geringsing,"Geringsing (serapan dari bahasa Bali: ᬕ᭄ᬭᬶᬂᬲᬶᬂ, translit. gringsing) adalah satu-satunya kain tenun tradisional Indonesia yang dibuat menggunakan teknik teknik dobel ikat dan memerlukan waktu 2-5 tahun. Kain ini berasal dari Desa Tenganan, Bali. Umumnya, masyarakat Tenganan memiliki kain gringsing berusia ratusan tahun yang digunakan dalam upacara khusus. Kata gringsing berasal dari gring yang berarti 'sakit' dan sing yang berarti 'tidak', sehingga bila digabungkan menjadi 'tidak sakit'. Maksud yang terkandung di dalam kata tersebut adalah seperti penolak bala. Di Bali, berbagai upacara, seperti upacara potong gigi, pernikahan, dan upacara keagamaan lain, dilakukan dengan bersandar pada kekuatan kain gringsing.",Bali,https://id.wikipedia.org/wiki/Geringsing,https://upload.wikimedia.org/wikipedia/commons/7/74/COLLECTIE_TROPENMUSEUM_Balinese_weefster_Tenganan_TMnr_10014449.jpg
36,Hamseyi,"Hamseyi adalah salah satu pakaian tradisional perempuan suku Gorontalo, Pulau Sulawesi, Indonesia. Hamseyi berbeda dengan pakaian adat gorontalo lainnya karena ornamen maupun aksesorisnya tidak sesederhana Madipungu dan tidak selengkap Bili'u.",Gorontalo,https://id.wikipedia.org/wiki/Hamseyi,https://upload.wikimedia.org/wikipedia/commons/2/27/Pakaian_Hamseyi_dari_Gorontalo.png
37,Iket,"Iket, udheng (Jawa), totopong (Sunda), atau udeng (Bali) adalah penutup kepala dari kain merupakan bagian kelengkapan sehari-hari pria di pulau Jawa dan Bali dan juga Lombok, sejak masa silam sampai sekitar awal tahun 1900-an dan mulai populer kembali pada tahun 2013. Penggunaan iket bagi pria akil balik pada masa lalu menjadi keharusan karena dipercaya melindungi mereka dari roh-roh jahat, selain untuk fungsi-fungsi praktis seperti wadah /pembungkus, selimut, bantalan untuk mengangkut beban di kepala dsb, sedangkan saat ini lebih diperuntukkan sebagai aksesoris dan upaya melestarikan budaya. Sedangkan penggunaan udeng di Ponorogo yang memiliki bentuk model Udeng terbanyak, sebagai bentuk strata sosial dan kegiatan ritual khusus. Iket Udeng masih dipakai oleh masyarakat Suku Sunda Baduy di Kampung adat Baduy pada kegiatan sehari-hari.",Jawa Barat,https://id.wikipedia.org/wiki/Iket,https://upload.wikimedia.org/wikipedia/commons/e/e8/Closeup_udeng_2A.jpg
38,Inodo,"Inodo adalah Pakaian adat tradisional Suku Bare'e yang berasal dari Kabupaten Tojo Una-una, Sulawesi Tengah. Inodo yang dipakai oleh Suku Bare'e di wilayah Poso-Tojo terbuat dari serat kayu, dan inodo terbuat dari pohon beringin biasa, pohon beringin putih, dan pohon beringin jenis kayu ivo. Pakaian adat tradisional Inodo jika menggunakan hijab dengan ikat kepala kecil dari kain yang dirajut yaitu Tali Bonto, atau kalau laki-laki dari Suku Bare'e dipakaikan dengan kain ikat kepala yang dinamakan Siga. Inodo bagi masyarakat Suku Bare'e adalah salah satu kekayaan budaya Indonesia yang dipercaya telah ada ribuan tahun yang lalu. Nenek moyang bangsa Indonesia hidup berselaras dengan alam. Salah satu contohnya dapat dilihat dari terciptanya kulit kayu sebagai bahan pakaian dan salah satunya adalah yang terbuat dari serat kayu yang disebut dengan nama Inodo, dan inodo terbuat dari serat kayu pohon beringin.",Sulawesi Tengah,https://id.wikipedia.org/wiki/Inodo,https://upload.wikimedia.org/wikipedia/commons/0/0f/Indonesian_Minister_of_Social_Affair%2C_Khofifah_Indar_Parawansa_on_the_State_Visit_in_Poso.jpg
39,Jamang,"Jamang atau juga disebut siger adalah sejenis perhiasan kepala yang dikenakan di dahi. Cara mengenakan jamang adalah melingkari kepala menyerupai ikat kepala, biasanya menghiasi kening, puncak dahi terus hingga ke pelipis. Jamang dapat dikenakan sendiri atau dipadukan dengan sumping dan rambut yang disanggul susun tinggi dan diberi perhiasan laksana mahkota sebagai kelengkapan jatamakuta. Jamang ditemukan dalam khazanah budaya Indonesia, khususnya budaya Jawa, Sunda, Bali, Lampung, Palembang dan Minang dikenakan sebagai atribut busana pengantin ataupun busana penari. Jamang kadang juga disebut siger atau singkar sebagai kelengkapan busana adat. Jamang pada busana adat Sunda disebut siger, tetapi istilah siger juga bisa dikaitkan dengan mahkota busana adat Lampung. Dalam bahasa Banjar disebut katopong yang dikenakan pemain Wayang Gung, sedang dalam mahkota pengantin wanita Banjar disebut amar.",Sumatera Barat,https://id.wikipedia.org/wiki/Jamang,https://upload.wikimedia.org/wikipedia/commons/f/f9/2011-06-05_TTF_42.jpg
40,Jarik,"Jarik merupakan sebuah sebutan dalam bahasa Jawa untuk sebuah kain yang mempunyai motif batik dengan berbagai corak. Jarik sendiri biasa digunakan oleh sesepuh orang Jawa untuk keseharian. Jarik mempunyai beberapa fungsi, seperti: Sebagai gambaran tingkat hidup dan status sosial. Makna jarik dengan motif tertentu akan menunjukan status sosial orang tersebut Jarik dapat menggambarkan darimana orang tersebut berasal, karena setiap daerah mempunyai ciri dan motif yang berbeda beda Sekarang jarik sudah berubah fungsinya tidak lagi sebagai kain yang menutupi kaki saja, melainkan sudah dapat menjadi bahan untuk koleksi",Indonesia,https://id.wikipedia.org/wiki/Jarik,
41,Kabit,"Kabit adalah pakaian tradisional bagi para lelaki suku Mentawai di Kepulauan Mentawai. Pembuatan kabit telah dimulai sejak zaman Neolitikum. Bahan yang digunakan untuk membuat kabit adalah kulit kayu. Kabit hanya digunakan oleh laki-laki suku Mentawai sebagai penutup tubuh bagian bawah yang dikaitkan di selangkangan. Pemakaian kabit yang memperlihatkan aurat, menjadi hambatan dalam islamisasi terhadap suku Mentawai oleh pedagang muslim pendatang di Kepulauan Mentawai sejak abad ke-17 Masehi.",Indonesia,https://id.wikipedia.org/wiki/Kabit,https://upload.wikimedia.org/wikipedia/commons/6/67/COLLECTIE_TROPENMUSEUM_Als_kippen_uitgedoste_Mentawai_mannen_tijdens_een_dans_in_een_dorp_aan_een_rivier_op_Siberoet_TMnr_60043043.jpg
42,Kain Bebali,"Kain Bebali atau yang di Bali Utara lebih dikenal dengan nama wangsul dan di Bali Timur dikenal dengan nama gedogan, terdiri dari dua suku kata, yakni kain dan bebali. Kain, merupakan hasil tenunan yang dipergunakan untuk menutupi tubuh. Sedangkan Bebali pengertiannya upacara. Maka, kain Bebali merupakan suatu hasil tenunan yang dipergunakan untuk kepentingan upacara, sehingga kain Bebali mengandung nilai – nilai dalam kehidupan sosio kultur. Mengutip pendapat I Made Seraya, dinyatakan bahwa kain bebali mempunyai arti penting dalam masyarakat karena mempunyai nilai-nilai tertentu antara lain, nilai guna, nilai artistik termasuk nilai estetika di dalamnya. Lebih jauh lagi, Dr. URS Ramseyer, seorang antrolog budaya dari Swiss dan ketua Yayasan Basel dankt Bali, mengatakan bahwa tenun Bebali adalah sebuah contoh yang baik sekali untuk memperlihatkan bagaimana satuan-satuan budaya material memiliki fungsi sebagai pembawa pesan-pesan bagi komunikasi pengetahuan (kearifan) budaya.",Bali,https://id.wikipedia.org/wiki/Kain_Bebali,
43,Kain tapis,"Kain Tapis merupakan salah satu kerajinan tradisional masyarakat Lampung berupa sarung yang diberi sulaman. Kain tapis biasanya terbuat dari benang katun dan benang emas. Benang katun adalah benang yang berasal dari bahan kapas dan digunakan sebagai bahan dasar dalam pembuatan kain tapis, sedangkan benang emas dipakai untuk membuat ragam hias pada tapis dengan sistem sulam. Pada awalnya, kain tapis diciptakan sebagai bentuk penghormatan kepada leluhur. Seiring berjalannya waktu, kain tapis digunakan oleh masyarakat Lampung untuk menghadiri berbagai acara adat. Saat ini, masyarakat Lampung maupun masyarakat pendatang sering menggunakan kain tapis ketika menghadiri upacara pernikahan, kegiatan resmi, hingga berbagai kegiatan kebudayaan lainnya. Kain tapis menjadi salah satu dari 3 jenis kain khas Lampung lainnya seperti kain sulam usus dan kain celugam.",Lampung,https://id.wikipedia.org/wiki/Kain_tapis,https://upload.wikimedia.org/wikipedia/commons/6/6a/Kain_tapis.JPG
44,Kampuh,"Dalam menjahit, kampuh adalah sambungan di mana dua atau lebih lapisan kain , kulit , atau bahan lain disatukan dengan jahitan . Sebelum penemuan mesin jahit , proses kampuh dilakukan dengan tangan. Kampuh pada tekstil rumah tangga modern yang diproduksi secara massal, barang olahraga , dan pakaian siap pakai dijahit dengan mesin terkomputerisasi , sedangkan pembuatan sepatu rumahan , penjahitan , jahit tindas , kerajinan tangan , adibusana , dan menjahit dapat menggunakan kombinasi jahitan tangan dan mesin. Dalam konstruksi pakaian , kampuh diklasifikasikan menurut jenisnya (jahitan polos, bertumpuk, berbatasan, atau Prancis ) dan posisinya dalam pakaian jadi (jahitan belakang tengah, jahitan samping, jahitan samping). Jahitan diselesaikan dengan berbagai teknik untuk mencegah terurainya tepi kain mentah dan untuk merapikan bagian dalam garmen.",Indonesia,https://id.wikipedia.org/wiki/Kampuh,https://upload.wikimedia.org/wikipedia/commons/0/0f/Quilting_seam.jpg
45,Kebaya,"Kebaya (pelafalan dalam bahasa Indonesia: [kəˈbaja]; kê‧ba‧ya) adalah sejenis pakaian bagian atas tradisional yang berasal dari kebudayaan Jawa di Indonesia, tetapi penggunaannya telah meluas di negara-negara Asia Tenggara lainnya seperti Malaysia, Brunei, dan Singapura. Selain itu, kebaya juga dikenakan di daerah di luar Asia Tenggara, yakni oleh orang Orang Jawa, Melayu dan orang Eurasia Portugis di Kepulauan Cocos, Pulau Natal, pesisir India dan Sri Lanka, Makau serta Afrika Selatan. Kebaya adalah pakaian bagian atas yang memiliki karakteristik terbuka di bagian depan dan dibuat secara tradisional dari kain ringan seperti brokat, katun, kasa, renda, atau voile, dan terkadang dihiasi dengan sulaman. Bagian depan diamankan dengan kancing, pin, atau bros. Sedangkan pakaian bagian bawah untuk pakaian ini biasanya dikenal sebagai sarung, kemben atau sepotong kain panjang yang dililitkan di pinggang dan dapat berupa batik, ikat, songket atau tenun Kebaya secara resmi diakui sebagai pakaian nasional dan juga ikon busana Indonesia, meskipun penggunaan kebaya hanya dipakai oleh Jawa, Sunda dan orang Bali secara berkala. Di Malaysia, Singapura dan Brunei, kenaya diakui sebagai salah satu pakaian etnis terutama di kalangan komunitas etnis Melayu dan Peranakan, dan kebaya biasanya dikenal di wilayah ini sebagai ""sarung kebaya"" yang berasal dari penamaan komponen lengkapnya. Sementara, gaya sarung kebaya bervariasi antara satu tempat dengan tempat lainnya di dalam cakupan wilayah tersebut. Kebaya telah menjadi ikon mode Asia Tenggara, dengan banyak maskapai penerbangan berbendera Asia Tenggara termasuk Singapore Airlines, Malaysia Airlines, Royal Brunei Airlines dan Garuda Indonesia telah mengadopsi pakaian tradisional ini sebagai seragam untuk pramugari perempuan maskapai tersebut.",Jawa Barat,https://id.wikipedia.org/wiki/Kebaya,https://upload.wikimedia.org/wikipedia/commons/6/63/GKR_Hayu_2.jpg
46,Kebaya Labuh dan Teluk Balangga,"Kebaya Labuh dan Teluk Balangga adalah baju adat dari Riau dan Kepri. Berasal dari Sumatera, pakaian adat ini merupakan sebuah kekayaan lokal yang ditetapkan oleh pemerintah Kepulauan Riau sebagai ikon pakaian adat dari daerah ini. Hal ini berdasarkan pada keunikan dan nilai-nilai kebudayaan yang dimiliki oleh pakaian ini sehingga merupakan nilai tambah tersendiri sebagai ciri khas kekayaan budaya Riau. Salah satu unsur budaya lokal Sumatera yang masih tetap eksis adalah baju adat. Setiap wilayah di Sumatra punya ciri khas tersendiri. Pakaian adat ini terdiri atas dua jenis pakaian adat untuk laki-laki dan wanita, yaitu Kebaya Labuh dan Teluk Balangga. Kedua baju adat ini merupakan warisan kebudayaan yang berasal dari masa kejayaan Islam di Riau. Namun, seiring dengan berjalannya waktu, kedua pakaian adat ini banyak digunakan oleh seluruh masyarakat Riau dan menjadi bagian dari pakaian adat dari Kepulauan Riau.",Riau,https://id.wikipedia.org/wiki/Kebaya_Labuh_dan_Teluk_Balangga,https://upload.wikimedia.org/wikipedia/commons/b/bd/Aksesoris_pengantin_pria_Melayu_Indonesia_dengan_kain_songket_corak_teluk_berantai_3.jpg
47,Kebaya Rancongan,"Kebaya Rancongan adalah salah satu pakaian tradisional yang khas dari Madura. Kebaya Rancongan sering disebut juga sebagai Kebaya Marlena. Kebaya ini dirancang dengan mengikuti bentuk tubuh pemakainya dan memiliki desain yang sederhana, tetapi tetap elegan. Biasanya Kebaya Rancongan terbuat dari kain tipis atau kain brokat yang memberi kesan ringan dan anggun pada pemakainya.",Jawa Timur,https://id.wikipedia.org/wiki/Kebaya_Rancongan,https://upload.wikimedia.org/wikipedia/commons/0/0f/Baju_Adat_Suku_Madura_asal_Sumenep_01.jpg
48,Kebaya janggan,"Janggan (bahasa Jawa: ꦗꦁꦒꦤ꧀, translit. janggan) adalah salah satu jenis busana tradisional Jawa untuk perempuan. Janggan secara tradisional digunakan oleh para wanita Jawa sebagai pakaian sehari-hari, khususnya di Jawa Timur dan Jawa Tengah, serta Yogyakarta. Pada masa modern, popularitas Janggan mulai naik daun terutama setelah rilisnya seri film berjudul Gadis Kretek.",Jawa Tengah,https://id.wikipedia.org/wiki/Kebaya_janggan,https://upload.wikimedia.org/wikipedia/commons/2/22/Raffles_A_Javan_Woman_of_the_lower_class.jpg
49,Kebaya kerancang,"Kebaya Kerancang adalah busana Betawi yang resmi harus dikenakan dalam pesta perkawinan oleh ibunda kedua calon/pengantin. Nama lain dari kebaya kerancang ini adalah encim. Kebaya Kerancang memiliki filosofi sebagai perlambang keindahan, kecantikan, kedewasaan, keceriaan dan pergaulan yang mengikuti kearifan, aturan dan tuntutan leluhur. Tujuannya untuk memelihara keanggunan dan kehormatan perempuan. Busana ini terdiri atas kebaya dan kebaya dan kain. Busana ini digunakan untuk keperluan resmi atau bepergian. Dahulu hanya bisa dikenakan oleh para nyai, gundik tuan blande yang kaya, karena harga kebaya ini memang selangit pada zamannya. Setelahnya datang orang Tionghoa yang juga beradaptasi menggunakan adat busana setempat dengan menggunakan kebaya bergengsi ini yang kemudian orang Betawi menyebut kebaya ini sebagai kebaya encim. Oleh Persatuan Wanita Betawi, nama ini kemudian diganti dengan 'kebaya kerancang', kerancang berasal dari bahasa Sanskerta yang berarti berlubang. Kebaya ini dibuat dengan model kartini dengan ujungnya yang sondai (meruncing ke bawah di bagian depan 20 cm - 30 cm dari bagian datar di pinggul). Selain itu model lain dari kebaya ini adalah berbentuk Kebaya Panjang Nyak Betawi, yang bawahnya datar sebatas 3 cm sampai 5 cm di atas lutut yang disebut kebaya panjang. Di masa sekarang jenis kebaya ini telah banyak berkembang dan dimodifikasi dengan menggunakan beragam jenis bahan sutra, brukat, sutra alam dan sebagainya. Kebaya ini digunakan oleh berbagai kalangan usia wanita. Biasanya oleh remaja putri kebaya ini dikombinasikan dengan rok panjang ataupun celana panjang. Hal ini tentu telah berkembang dari aslinya yang menggunakan kain sebagai pasangan. Biasanya kain yang menjadi pasangan Kebaya Kerancang bisa berupa sarung ataupun kain panjang yang disirungkan. Di masa sekarang biasanya ditambahkan pula dengan selendang untuk melengkapi kecantikan dari busana ini.",DKI Jakarta,https://id.wikipedia.org/wiki/Kebaya_kerancang,https://upload.wikimedia.org/wikipedia/commons/5/5e/Kebaya_Kerancang_Betawi_20240622_121528.jpg
50,Kemban (pakaian tradisional),"Kemban atau kemben (bahasa Jawa: ꦏꦼꦩ꧀ꦧꦼꦤ꧀, translit. kemben; bahasa Bali: ᬓᭂᬫ᭄ᬩᭂᬦ᭄) adalah pakaian tradisional suku Jawa dan Bali yang berupa kain pembungkus tubuh wanita yang secara historis umum ditemui di daerah Jawa dan Bali, Indonesia. Kemban dapat berupa sepotong kain yang membungkus tubuh, baik itu berupa kain yang polos, kain batik, beludru, atau jenis kain lain yang menutupi dada lalu melilit tubuh wanita.",Bali,https://id.wikipedia.org/wiki/Kemban_(pakaian_tradisional),https://upload.wikimedia.org/wikipedia/commons/1/11/COLLECTIE_TROPENMUSEUM_Studioportret_van_een_Javaanse_vrouw_mogelijk_uit_Jogjakarta_TMnr_60027279.jpg
51,Koje,"Koje adalah suatu istilah dalam bahasa Kaili yang merujuk pada pakaian tradisional bagi kaum laki-laki khas suku Kaili yang ada di Sulawesi Tengah. Baju Koje berbentuk kemeja dengan lengan panjang, biasanya penggunaan baju ini dikombinasikan dengan sebuah celana yang panjangnya hingga selutut.",Sulawesi Tengah,https://id.wikipedia.org/wiki/Koje,
52,Koteka,"Koteka adalah pakaian untuk menutup kemaluan laki-laki dalam budaya sebagian penduduk asli Pulau Papua. Kata koteka sendiri berasal dari bahasa mee yang berarti pakaian, dalam bahasa dani disebut holim. Koteka terbuat dari kulit labu atau juga bisa terbuat dari moncong burung khawil atau taun-taun (Rhyticeros plicatus), yang dalam bahasa korowai disebut khawisip. Mulut burung taun-taun ini dapat diperoleh dengan cara berburu, sedangkan labu air (lagenaria siceraria) ini ditanam dan diproses sehingga berbentuk yang dinamakan koteka yang digunakan oleh kaum laki-laki. Bagi masyarakat Hubula (Dani) di Lembah Baliem, bentuk holim berkaitan dengan status pemakainya. Koteka dengan ujung melengkung ke depan (kolo) dipakai oleh Ap Kain (pemimpin konfederasi), koteka yang melengkung ke samping (haliag) dipakai golongan menengah seperti Ap Menteg (panglima perang) atau Ap Ubalik (tabib atau pemimpin adat). Sedangkan koteka yang bentuknya tegak lurus digunakan oleh masyarakat biasa. Namun, setiap suku memiliki perbedaan bentuk koteka. Orang suku Yali, misalnya, menyukai bentuk labu yang panjang untuk humi mereka. Sedangkan orang Lani di Tiom biasanya memakai dua labu untuk membentuk kobeba.",Bali,https://id.wikipedia.org/wiki/Koteka,https://upload.wikimedia.org/wikipedia/commons/6/6f/Koteka.jpg
53,Lipa' Sabbe,"Lipa' Sabbe merupakan sarung khas dari dan Suku Bugis khususnya daerah Wajo, Bone, Dan Soppeng. Pusat produksi sarung ini adalah di Kota Sengkang, Kabupaten Wajo, Sulawesi Selatan. Lipa Sabbe berasal dari bahasa Bugis yang artinya Sarung sutra. Lipa' Sabbe terbuat dari kain sutra. Biasanya digunakan sebagai bawahan baik oleh pria maupun wanita. Untuk pria dipadukan dengan Jas Tutup dan Songkok Recca dan untuk wanita dipadukan dengan Waju Tokko khas Suku Bugis. Biasanya sarung ini digunakan pada acara adat, acara pernikahan seperti mappacci dan sebagai hadiah pernikahan.",Sulawesi Selatan,https://id.wikipedia.org/wiki/Lipa%27_Sabbe,https://upload.wikimedia.org/wikipedia/commons/1/19/MG_1293_%281%29.jpg
54,Lurik,"Lurik (aksara Jawa: ꦭꦸꦫꦶꦏ꧀) adalah kain dengan motif bergaris-garis kecil yang secara tradisional menjadi pakaian khas masyarakat pedesaan di kalangan suku bangsa Jawa. Lurik yang berbahan dasar katun kasar memiliki harga yang relatif murah dan terjangkau untuk masyarakat kelas bawah. Lurik adalah bahan dasar untuk pembuatan Surjan. Dalam perkembangan modern, lurik sekarang mendapat sentuhan warna-warna baru, sehingga dapat pula dipakai sebagai bahan kemeja atau sebagai komponen estetika pada rompi atau jas.",Indonesia,https://id.wikipedia.org/wiki/Lurik,https://upload.wikimedia.org/wikipedia/commons/8/86/Gunungan_and_stright_clothes.jpg
55,Madipungu,"Madipungu adalah pakaian tradisional perempuan suku Gorontalo, Pulau Sulawesi, Indonesia. Madipungu merupakan salah satu pakaian adat Gorontalo yang masih dilestarikan. Berbeda dengan pakaian adat Gorontalo lainnya, ornamen Madipungu tidak terlalu banyak dan tidak begitu lengkap seperti yang digunakan pada Bili'u. Baju adat Madipungu dapat digunakan di berbagai kesempatan, baik menjadi tamu undangan di berbagai acara, pakaian pendamping mempelai wanita, hingga pakaian resmi dalam upacara kenegaraan.",Gorontalo,https://id.wikipedia.org/wiki/Madipungu,https://upload.wikimedia.org/wikipedia/commons/9/93/Madipungu.png
56,Nggembe,"Nggembe adalah suatu jenis pakaian tradisional bagi kaum perempuan dari khas suku Kaili di Sulawesi Tengah. Pada dasarnya, baju ini dipakai pada acara adat dan acara khusus suku Kaili. Bentuk baju ini berkerah bulat dengan ukuran baju yang longgar dengan terusan hingga ke pinggang dan lengannya tidak terlalu panjang. Baju ini lebih tepat dipakai untuk acara adat suku kaili dan juga sebagai kostum untuk pagearan tari dalam berbagai kegiatan.",Sulawesi Tengah,https://id.wikipedia.org/wiki/Nggembe,
57,Pakaian,"Pakaian adalah bahan tekstil dan serat yang digunakan sebagai penutup tubuh. Pakaian merupakan kebutuhan pokok manusia selain makanan dan tempat berteduh/tempat tinggal (rumah). Manusia membutuhkan pakaian untuk melindungi dan menutup dirinya. Namun, seiring dengan perkembangan kehidupan manusia, pakaian juga digunakan sebagai simbol status, jabatan, ataupun kedudukan seseorang yang memakainya. Perkembangan dan jenis-jenis pakaian tergantung pada adat-istiadat, kebiasaan, dan budaya yang memiliki ciri khas masing-masing. Pakaian juga meningkatkan keamanan selama kegiatan berbahaya seperti hiking dan memasak, dengan memberikan penghalang antara kulit dan lingkungan. Pakaian juga memberikan penghalang higienis, menjaga toksin dari badan dan membatasi penularan kuman.",Indonesia,https://id.wikipedia.org/wiki/Pakaian,https://upload.wikimedia.org/wikipedia/commons/9/96/Clothes.jpg
58,Pakaian Adat Jawa Timur,"Pakaian adat resmi Jawa Timur adalah pakaian kerakyatan yang digunakan masyarakat Jawa Timur. bagi pria terdiri ikat kepala kaos bergaris dengan setelan luar dan celana warna hitam, sedangkan perempuan kebaya dengan sewek batik dibawah lutut. Pakaian adat Jawa timur ini mengadopsi dari suku Madura dan sub suku Panaraga. [1] Meski terlihat sama, akan tetapi pakaian kedua suku ini berbeda. Pakaian adat Madura digunakan masyarakat Madura yang berada di pulau Madura dan masyarakat Pendalungan di kawasan Tapal kuda Jawa, sedangkan pakaian adat suku Panaraga digunakan oleh masyarakat Panaraga yang berada di Kareidenan Madiun, Karesidenan Kediri.[2] meskipun demikian, masing-masing suku memiliki pakaian bangsawan tersendiri. Akan tetapi dalam konteks pakaian adat jawa timur yang ditetapkan adalah pakaian kerakyatan yang digunakan oleh 2 komunitas kebudayaan yang besar di Jawa Timur yakni suku Madura dan Sub Suku Panaraga, meskipun terdapat komunitas kebudayaan lainnya seperti sub suku Arekan, Osing, Mataraman, Tengger, Bawean dan Samin.[3]",Jawa Timur,https://id.wikipedia.org/wiki/Pakaian_Adat_Jawa_Timur,
59,Pakaian Bundo Kanduang,"Pakaian Bundo Kanduang merupakan busana tradisional khas Minangkabau yang dikenakan oleh perempuan Minang yang sudah menikah dan memiliki peran penting dalam keluarga serta kehidupan sosial. Dikenal juga dengan sebutan Limpapeh Rumah Nan Gadang, pakaian ini mencerminkan posisi dan tanggung jawab perempuan dalam melestarikan adat serta menjaga keharmonisan nilai-nilai budaya Minangkabau. Tata cara menggunakan pakaian ini harus merujuk pada Adat basandi Syarak, Syarak basandi Kitabullah, sehingga tradisi ini tidak bisa sembarang mendapatkan sentuhan modifikasi. Dalam struktur adat Minangkabau, Bundo Kanduang sering disandingkan dengan istilah limpapeh rumah gadang, yang bermakna penyangga utama rumah adat. Sebagaimana tiang tengah menopang bangunan, perempuan memegang peran sentral dalam menjaga keseimbangan nilai dan kehidupan keluarga besar. Pakaian ini umumnya terdiri atas baju kurung, sarung songket, dan tengkuluk tanduak, yakni penutup kepala berbentuk tanduk kerbau. Busana lengkap Bundo Kanduang terdiri dari baju kurung berwarna hitam, merah, atau lembayung, dihiasi minsia (bordir benang emas) yang menggambarkan keteraturan sosial dan batasan dalam adat. Di atas baju dikenakan selempang, sebagai lambang tanggung jawab sosial dan kekerabatan. Kain sarung atau kodek hingga mata kaki serta aneka perhiasan seperti subang, kalung, dan gelang bukan hanya hiasan, tetapi juga simbol peran perempuan dalam menjaga nilai, keturunan, dan kehormatan. Baju kurung yang dikenakan melambangkan kesopanan, sedangkan motif dan warna pada kain songket atau sarung menunjukkan nilai estetika sekaligus status sosial. Perhiasan seperti kalung dan anting menambah nilai simbolik sebagai pelengkap kehormatan diri. Baju kurung melambangkan kelembutan dan kesopanan, sedangkan tengkuluk tanduak melambangkan kecerdasan dan kewibawaan. Tanduk kerbau dipilih sebagai simbol karena erat dengan nilai-nilai ketangguhan dan kecerdikan, seperti dalam kisah simbolik Tambo Minangkabau. Pakaian Bundo Kan",Sumatera Barat,https://id.wikipedia.org/wiki/Pakaian_Bundo_Kanduang,https://upload.wikimedia.org/wikipedia/commons/4/45/Bundo_Kanduang.jpg
